SID,SVOLT,SOV,TORN,SORN,TSN,TEMP,CURRENT
531,48.0,0.0,6,2,3-12-4524,38.125,-6.818316e-08
531,48.0,0.0,6,3,3-12-4524,38.187,-6.545054e-08
531,48.0,0.0,6,4,3-12-4524,38.187,-6.189939e-08
531,48.0,0.0,6,5,3-12-4524,38.187,-6.714079e-08
531,48.0,0.0,6,6,3-12-4524,38.25,-7.412563e-08
531,48.0,0.0,6,7,3-12-4524,38.25,-7.04032e-08
531,48.0,0.0,6,8,3-12-4524,38.312,-6.754903e-08
531,48.0,0.0,6,9,3-12-4524,38.312,-7.12846e-08
531,48.0,0.0,6,10,3-12-4524,38.312,-7.323318e-08
531,48.0,0.0,6,11,3-12-4524,38.375,-7.081627e-08
531,48.0,0.0,6,12,3-12-4524,38.375,-6.973317e-08
531,48.0,0.0,6,13,3-12-4524,38.375,-7.322213e-08
531,48.0,0.0,6,14,3-12-4524,38.375,-7.329741e-08
531,48.0,0.0,6,15,3-12-4524,38.375,-7.320831e-08
531,48.0,0.0,6,16,3-12-4524,38.375,-6.862665e-08
531,48.0,0.0,7,1,3-12-4525,38.312,-6.733064e-08
531,48.0,0.0,7,2,3-12-4525,38.312,-7.130247e-08
531,48.0,0.0,7,3,3-12-4525,38.375,-6.848072e-08
531,48.0,0.0,7,4,3-12-4525,38.437,-7.000455e-08
531,48.0,0.0,7,5,3-12-4525,38.437,-7.098402e-08
531,48.0,0.0,7,6,3-12-4525,38.437,-7.286772e-08
531,48.0,0.0,7,7,3-12-4525,38.5,-6.920464e-08
531,48.0,0.0,7,8,3-12-4525,38.5,-7.166995e-08
531,48.0,0.0,7,9,3-12-4525,38.5,-7.414492e-08
531,48.0,0.0,7,10,3-12-4525,38.562,-7.523769e-08
531,48.0,0.0,7,11,3-12-4525,38.562,-7.267499e-08
531,48.0,0.0,7,12,3-12-4525,38.562,-7.422161e-08
531,48.0,0.0,7,13,3-12-4525,38.562,-7.260178e-08
531,48.0,0.0,7,14,3-12-4525,38.625,-7.430587e-08
531,48.0,0.0,7,15,3-12-4525,38.625,-7.241668e-08
531,48.0,0.0,7,16,3-12-4525,38.625,-7.425407e-08
